GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Smart Print Server Scheduler,com.printscheduler.websocket,SimulationBroadcaster,169,0,6,0,48,0,10,0,7,0
Smart Print Server Scheduler,com.printscheduler.websocket,WebSocketConfig,21,0,0,0,6,0,2,0,2,0
Smart Print Server Scheduler,com.printscheduler.websocket,SimulationWebSocketHandler,141,0,6,0,35,0,10,0,7,0
Smart Print Server Scheduler,com.printscheduler.service,PrintServerSimulator,468,0,38,0,114,0,38,0,19,0
Smart Print Server Scheduler,com.printscheduler.service,SimulationServiceImpl,329,0,36,0,79,0,31,0,13,0
Smart Print Server Scheduler,com.printscheduler,PrintSchedulerApplication,8,0,0,0,3,0,2,0,2,0
Smart Print Server Scheduler,com.printscheduler.exception,InvalidConfigurationException,4,0,0,0,1,0,1,0,1,0
Smart Print Server Scheduler,com.printscheduler.exception,ValidationException,15,0,0,0,5,0,3,0,3,0
Smart Print Server Scheduler,com.printscheduler.exception,SchedulerException,9,0,0,0,2,0,2,0,2,0
Smart Print Server Scheduler,com.printscheduler.exception,SimulationNotRunningException,11,0,0,0,2,0,1,0,1,0
Smart Print Server Scheduler,com.printscheduler.exception,SimulationNotPausedException,4,0,0,0,2,0,1,0,1,0
Smart Print Server Scheduler,com.printscheduler.exception,SimulationAlreadyRunningException,4,0,0,0,2,0,1,0,1,0
Smart Print Server Scheduler,com.printscheduler.exception,SimulationException,9,0,0,0,2,0,2,0,2,0
Smart Print Server Scheduler,com.printscheduler.api.dto,ErrorDetail,31,0,2,0,10,0,6,0,5,0
Smart Print Server Scheduler,com.printscheduler.api.dto,ApiResponse,41,0,0,0,12,0,7,0,7,0
Smart Print Server Scheduler,com.printscheduler.api.dto,ConfigUpdateRequest,24,0,0,0,7,0,7,0,7,0
Smart Print Server Scheduler,com.printscheduler.config,BrowserLauncher,119,0,8,0,24,0,7,0,3,0
Smart Print Server Scheduler,com.printscheduler.config,JacksonConfig,13,0,0,0,4,0,2,0,2,0
Smart Print Server Scheduler,com.printscheduler.config,CorsConfig,45,0,0,0,8,0,2,0,2,0
Smart Print Server Scheduler,com.printscheduler.model,CountingSemaphore,98,0,8,0,30,0,11,0,7,0
Smart Print Server Scheduler,com.printscheduler.model,SimulationClock,117,0,6,0,41,0,13,0,10,0
Smart Print Server Scheduler,com.printscheduler.model,UserThread,193,0,8,0,40,0,6,0,2,0
Smart Print Server Scheduler,com.printscheduler.model,SimulationState.Metrics,59,0,0,0,17,0,17,0,17,0
Smart Print Server Scheduler,com.printscheduler.model,SimulationConfig,83,0,0,0,25,0,17,0,17,0
Smart Print Server Scheduler,com.printscheduler.model,SimulationState.PrinterInfo,150,0,4,0,42,0,22,0,20,0
Smart Print Server Scheduler,com.printscheduler.model,Printer,271,0,14,0,66,0,28,0,21,0
Smart Print Server Scheduler,com.printscheduler.model,JobStatus,33,0,0,0,6,0,1,0,1,0
Smart Print Server Scheduler,com.printscheduler.model,PrinterThread,419,0,22,0,100,0,13,0,2,0
Smart Print Server Scheduler,com.printscheduler.model,SimulationSnapshot,102,0,0,0,27,0,14,0,14,0
Smart Print Server Scheduler,com.printscheduler.model,PrintJob,201,0,6,0,47,0,28,0,25,0
Smart Print Server Scheduler,com.printscheduler.model,Database,390,0,30,0,82,0,36,0,21,0
Smart Print Server Scheduler,com.printscheduler.model,PrintQueue,474,0,38,0,112,0,47,0,27,0
Smart Print Server Scheduler,com.printscheduler.model,SimulationState,131,0,0,0,36,0,31,0,31,0
Smart Print Server Scheduler,com.printscheduler.model,SimulationStatus,27,0,0,0,5,0,1,0,1,0
Smart Print Server Scheduler,com.printscheduler.model,PrinterStatus,27,0,0,0,5,0,1,0,1,0
Smart Print Server Scheduler,com.printscheduler.model,PauseCoordinator,26,0,2,0,11,0,6,0,5,0
Smart Print Server Scheduler,com.printscheduler.model,SimulationState.JobInfo,109,0,0,0,30,0,20,0,20,0
Smart Print Server Scheduler,com.printscheduler.api,GlobalExceptionHandler,167,0,2,0,34,0,15,0,14,0
Smart Print Server Scheduler,com.printscheduler.api,HealthController,45,0,4,0,11,0,4,0,2,0
Smart Print Server Scheduler,com.printscheduler.api,SimulationController,274,0,18,0,62,0,20,0,11,0
